anio,edad_mujer_grupo,edad_hombre_grupo,valor
2014,55 - 59,25-29,0
2014,55 - 59,30-34,0
2014,55 - 59,35-39,0
2014,55 - 59,40-44,2
2014,55 - 59,45-49,3
2014,55 - 59,50-54,1
2014,55 - 59,55-59,11
2014,55 - 59,60 y más,13
2014,55 - 59,Ignorado,8
2014,55 - 59,Menos de 15,0
2014,60 y más,15-19,0
2014,60 y más,20-24,0
2014,60 y más,25-29,0
2014,60 y más,30-34,0
2014,60 y más,35-39,1
2014,60 y más,40-44,1
2014,60 y más,45-49,0
2014,60 y más,50-54,3
2014,60 y más,55-59,2
2014,60 y más,60 y más,10
2014,60 y más,Ignorado,8
2014,60 y más,Menos de 15,0
2014,Ignorado,15-19,0
2014,Ignorado,20-24,6
2014,Ignorado,25-29,16
2014,Ignorado,30-34,41
2014,Ignorado,35-39,56
2014,Ignorado,40-44,38
2014,Ignorado,45-49,32
2014,Ignorado,50-54,26
2014,Ignorado,55-59,12
2014,Ignorado,60 y más,12
2014,Ignorado,Ignorado,3034
2014,Ignorado,Menos de 15,0
2014,Menos de 15,15-19,0
2014,Menos de 15,20-24,0
2014,Menos de 15,25-29,0
2014,Menos de 15,30-34,0
2014,Menos de 15,35-39,0
2014,Menos de 15,40-44,0
2014,Menos de 15,45-49,0
2014,Menos de 15,50-54,0
2014,Menos de 15,55-59,0
2014,Menos de 15,60 y más,0
2014,Menos de 15,Ignorado,0
2014,Menos de 15,Menos de 15,0
2015,15 - 19,15-19,6
2015,15 - 19,20-24,57
2015,15 - 19,25-29,23
2015,15 - 19,30-34,6
2015,15 - 19,35-39,6
2015,15 - 19,40-44,2
2015,15 - 19,45-49,1
2015,15 - 19,50-54,1
2015,15 - 19,55-59,0
2015,15 - 19,60 y más,0
2015,15 - 19,Ignorado,3
2015,15 - 19,Menos de 15,0
2015,20 - 24,15-19,8
2015,20 - 24,20-24,149
2015,20 - 24,25-29,235
2015,20 - 24,30-34,82
2015,20 - 24,35-39,24
2015,20 - 24,40-44,10
2015,20 - 24,45-49,4
2015,20 - 24,50-54,0
2015,20 - 24,55-59,1
2015,20 - 24,60 y más,0
2015,20 - 24,Ignorado,7
2015,20 - 24,Menos de 15,0
2015,25 - 29,15-19,2
2015,25 - 29,20-24,49
2015,25 - 29,25-29,253
2015,25 - 29,30-34,221
2015,25 - 29,35-39,55
2015,25 - 29,40-44,17
