anio,edad_mujer_grupo,edad_hombre_grupo,valor
2013,30 - 34,Menos de 15,0
2013,35 - 39,15-19,11
2013,35 - 39,20-24,123
2013,35 - 39,25-29,259
2013,35 - 39,30-34,580
2013,35 - 39,35-39,1126
2013,35 - 39,40-44,777
2013,35 - 39,45-49,383
2013,35 - 39,50-54,170
2013,35 - 39,55-59,105
2013,35 - 39,60-64,54
2013,35 - 39,65 y más,59
2013,35 - 39,Ignorado,0
2013,35 - 39,Menos de 15,0
2013,40 - 44,15-19,4
2013,40 - 44,20-24,26
2013,40 - 44,25-29,58
2013,40 - 44,30-34,139
2013,40 - 44,35-39,308
2013,40 - 44,40-44,600
2013,40 - 44,45-49,491
2013,40 - 44,50-54,263
2013,40 - 44,55-59,143
2013,40 - 44,60-64,98
2013,40 - 44,65 y más,83
2013,40 - 44,Ignorado,1
2013,40 - 44,Menos de 15,0
2013,45 - 49,15-19,1
2013,45 - 49,20-24,7
2013,45 - 49,25-29,18
2013,45 - 49,30-34,45
2013,45 - 49,35-39,80
2013,45 - 49,40-44,151
2013,45 - 49,45-49,375
2013,45 - 49,50-54,418
2013,45 - 49,55-59,222
2013,45 - 49,60-64,125
2013,45 - 49,65 y más,111
2013,45 - 49,Ignorado,4
2013,45 - 49,Menos de 15,0
2013,50 - 54,15-19,1
2013,50 - 54,20-24,0
2013,50 - 54,25-29,3
2013,50 - 54,30-34,14
2013,50 - 54,35-39,26
2013,50 - 54,40-44,53
2013,50 - 54,45-49,122
2013,50 - 54,50-54,317
2013,50 - 54,55-59,303
2013,50 - 54,60-64,200
2013,50 - 54,65 y más,153
2013,50 - 54,Ignorado,1
2013,50 - 54,Menos de 15,0
2013,55 - 59,15-19,0
2013,55 - 59,20-24,0
2013,55 - 59,25-29,0
2013,55 - 59,30-34,5
2013,55 - 59,35-39,11
2013,55 - 59,40-44,11
2013,55 - 59,45-49,30
2013,55 - 59,50-54,80
2013,55 - 59,55-59,229
2013,55 - 59,60-64,285
2013,55 - 59,65 y más,209
2013,55 - 59,Ignorado,1
2013,55 - 59,Menos de 15,0
2013,60 - 64,15-19,0
2013,60 - 64,20-24,0
2013,60 - 64,25-29,0
2013,60 - 64,30-34,1
2013,60 - 64,35-39,1
2013,60 - 64,40-44,4
2013,60 - 64,45-49,8
2013,60 - 64,50-54,16
2013,60 - 64,55-59,72
2013,60 - 64,60-64,190
2013,60 - 64,65 y más,331
2013,60 - 64,Ignorado,0
2013,60 - 64,Menos de 15,0
2013,65 y más,15-19,0
2013,65 y más,20-24,0
2013,65 y más,25-29,0
2013,65 y más,30-34,1
2013,65 y más,35-39,0
2013,65 y más,40-44,1
2013,65 y más,45-49,0
2013,65 y más,50-54,7
2013,65 y más,55-59,25
2013,65 y más,60-64,53
2013,65 y más,65 y más,746
2013,65 y más,Ignorado,1
2013,65 y más,Menos de 15,0
2013,Ignorado,15-19,4
2013,Ignorado,20-24,6
2013,Ignorado,25-29,10
2013,Ignorado,30-34,8
2013,Ignorado,35-39,0
2013,Ignorado,40-44,1
2013,Ignorado,45-49,1
2013,Ignorado,50-54,1
2013,Ignorado,55-59,1
2013,Ignorado,60-64,2
2013,Ignorado,65 y más,1
2013,Ignorado,Ignorado,11
2013,Ignorado,Menos de 15,0
2013,Menos de 15,15-19,475
2013,Menos de 15,20-24,409
2013,Menos de 15,25-29,99
2013,Menos de 15,30-34,21
2013,Menos de 15,35-39,7
2013,Menos de 15,40-44,1
2013,Menos de 15,45-49,1
2013,Menos de 15,50-54,1
2013,Menos de 15,55-59,1
2013,Menos de 15,60-64,0
2013,Menos de 15,65 y más,0
2013,Menos de 15,Ignorado,0
2013,Menos de 15,Menos de 15,0
2014,15 - 19,15-19,5976
2014,15 - 19,20-24,10694
2014,15 - 19,25-29,2771
2014,15 - 19,30-34,687
2014,15 - 19,35-39,184
2014,15 - 19,40-44,63
2014,15 - 19,45-49,27
2014,15 - 19,50-54,14
2014,15 - 19,55-59,9
2014,15 - 19,60-64,1
2014,15 - 19,65 y más,4
2014,15 - 19,Ignorado,3
2014,15 - 19,Menos de 15,5
2014,20 - 24,15-19,1967
2014,20 - 24,20-24,12292
2014,20 - 24,25-29,7733
2014,20 - 24,30-34,2216
2014,20 - 24,35-39,626
2014,20 - 24,40-44,222
2014,20 - 24,45-49,86
2014,20 - 24,50-54,37
2014,20 - 24,55-59,21
2014,20 - 24,60-64,18
2014,20 - 24,65 y más,18
2014,20 - 24,Ignorado,3
2014,20 - 24,Menos de 15,1
2014,25 - 29,15-19,231
2014,25 - 29,20-24,2726
2014,25 - 29,25-29,6068
2014,25 - 29,30-34,3715
2014,25 - 29,35-39,1208
2014,25 - 29,40-44,382
2014,25 - 29,45-49,129
2014,25 - 29,50-54,81
2014,25 - 29,55-59,44
2014,25 - 29,60-64,28
2014,25 - 29,65 y más,28
2014,25 - 29,Ignorado,2
2014,25 - 29,Menos de 15,1
2014,30 - 34,15-19,58
2014,30 - 34,20-24,481
2014,30 - 34,25-29,1454
2014,30 - 34,30-34,2638
2014,30 - 34,35-39,1644
2014,30 - 34,40-44,622
2014,30 - 34,45-49,231
